Symbol,last_quote,AnalystTargetPrice,Sector,MarketCapitalization,RevenueTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,EBITDA,ProfitMargin,OperatingMarginTTM,GrossProfitTTM,DividendYield,RevenueGrowth3YrPct,COGSGrowth3YrPct,totalAssets,totalLiabilities,cashAndShortTermInvestments,operatingCashflow,capitalExpenditures
MSFT,343.7699890136719,331.86,TECHNOLOGY,2556098249000,207590998000,0.148,0.386,100080001000,0.333,0.414,135620000000,0.0078,0.5879914166565448,0.4600326264274062,364840000000,198298000000,104757000000,89035000000,23886000000
AAPL,191.94000244140625,170.6,TECHNOLOGY,3018966696000,385095008000,0.206,1.456,123788001000,0.245,0.292,170782000000,0.005,0.5253314523106182,0.3817730031771149,352755000000,302083000000,48304000000,122151000000,10708000000
NVDA,443.0899963378906,438.63,MANUFACTURING,1094432326000,25878000000,0.0627,0.189,6090000000,0.185,0.174,15356000000,0.0003,1.4705990108078402,-0.7493975903614458,41182000000,19081000000,13296000000,5641000000,1833000000
AMZN,130.0,127.77,TRADE & SERVICES,1333851980000,524896993000,0.0191,0.0298,57194000000,0.0082,0.0254,225152000000,0,0.8331743766627704,0.7448228784071138,462675000000,316632000000,70026000000,46752000000,63645000000
META,294.260009765625,273.5,TECHNOLOGY,754108924000,117346001000,0.12,0.173,42455998000,0.183,0.285,92855000000,0,0.6486992008161877,0.9772122161315583,185727000000,60014000000,40763000000,50475000000,31431000000
TSLA,260.0199890136719,205.42,MANUFACTURING,824133353000,86034997000,0.104,28.7,16666000000,0,0,20853000000,0,2.314427536821548,2.1295336787564767,82338000000,36440000000,22185000000,14724000000,7158000000
GOOG,120.30999755859375,131.56,TECHNOLOGY,1525314224000,284612002000,0.124,0.228,87495999000,0.206,0.254,156633000000,0,0.7378241287062036,0.7553549571603427,365264000000,109120000000,113762000000,91495000000,31485000000
DIS,87.18000030517578,115.96,TRADE & SERVICES,157532000000,86981001000,0.0228,4.372,12665000000,0.0474,0.0856,28321000000,0,0.18841495826569166,0.31589251373031413,203631000000,108623000000,11615000000,6010000000,4943000000
BABA,92.16999816894531,136.89,TRADE & SERVICES,238282900000,868687020000,0.0374,7.48,144367993000,0.0838,0.119,314357000000,0,0.7042735981762215,0.9467395269277217,1753044000000,630123000000,193086000000,199752000000,0
JPM,154.9499969482422,150.95,FINANCE,453788107000,137920004000,0.0124,0.16,None,0.347,0.431,122306000000,0.0258,0.11212409263740063,,3665743000000,3373411000000,567234000000,107119000000,None
